"y","S","x1","x2","x3"
NA,"1",-0.445778264836677,-0.264988192801798,"1"
NA,"1",-1.2058565689643,-1.77271953897584,"0"
"1","1",0.0411263138456899,0.687108003149219,"1"
NA,"1",0.639388407571143,0.170628553627376,"1"
NA,"1",-0.786554355912735,-0.323708954671379,"1"
NA,"1",-0.38548929809552,1.31389540828069,"1"
"3","1",-0.475867884077706,0.234467012289528,"0"
NA,"1",0.719750691474437,0.564756542075406,"1"
"1","1",-0.018505622887574,-0.5037877314347,"1"
NA,"1",-1.37311775893855,0.702416059049828,"1"
"1","2",-0.982427827680338,-0.923676412220144,"0"
NA,"1",-0.554488701581856,-0.033039496150843,"1"
NA,"1",0.121381188657659,1.9369823698817,"1"
NA,"1",-0.120872315937481,0.493980161209374,"0"
NA,"1",-1.33604104855461,-0.982451739067617,"0"
"3","2",0.170057481208407,-0.395451863273964,"0"
NA,"1",0.155078715940733,-1.16342134759093,"1"
"1","1",0.0249318673672384,-0.063592341426115,"1"
NA,"1",-2.04658541402115,-1.07525216526405,"1"
NA,"1",0.213154105608615,0.767143283659408,"0"
NA,"1",2.67007166431368,-0.541698020793906,"1"
NA,"1",-1.22701600631211,1.14119169338798,"0"
NA,"1",0.834247331947683,-1.46545573285335,"0"
"1","1",0.532571747050487,-0.354710241460077,"0"
NA,"2",-0.646824963186768,-0.974096945638844,"1"
NA,"1",0.603161260832291,1.27394606804556,"1"
NA,"1",-1.78384413571217,0.0542777133210458,"1"
NA,"1",0.334942167117471,0.647328556794499,"1"
"3","2",0.560975721885086,-1.95656881859975,"0"
NA,"1",1.22093565459939,0.520671057269683,"1"
NA,"1",-0.211453587717209,1.31477258776911,"1"
NA,"1",0.699429525136215,-0.602575009285484,"1"
"1","1",-0.706436682009483,-0.563156506262568,"1"
NA,"1",-0.465150945120915,1.01909708717902,"1"
NA,"1",-1.766198610056,-0.698608234687049,"1"
NA,"1",0.189288595868582,-1.91380969157317,"1"
NA,"1",-0.366180676119473,0.308378146024884,"0"
NA,"1",1.05760117768447,2.39304661044318,"0"
NA,"1",-0.741621461852177,-0.504985449156042,"1"
"1","2",-1.34835905258526,-0.972600417135455,"1"
NA,"1",-0.517306431961887,-0.827654817142802,"0"
NA,"1",1.41173570168973,0.369386674120776,"1"
NA,"1",0.185465027768289,-0.316580420655339,"0"
NA,"1",-0.0436914427864313,1.11510665736072,"0"
NA,"2",-0.215913375205422,1.52911165937504,"1"
NA,"1",1.46377534634325,-0.584727309067519,"0"
NA,"1",0.229666637237438,-1.32892692725571,"0"
NA,"1",0.107623634352438,-0.220479370575155,"0"
NA,"1",-1.37810255888946,-0.248026893578292,"1"
NA,"2",-0.968182883154639,1.20390114231374,"0"
NA,"1",0.251711380123191,-0.221419130061278,"0"
NA,"1",-1.0946936973485,0.979278161008169,"1"
"1","1",0.397642844960184,0.730989205911224,"1"
NA,"1",-0.996302004340238,0.101434091718096,"1"
"3","2",0.100578011976896,0.682843235608205,"0"
NA,"1",0.953680281427113,-0.735340787063579,"0"
NA,"2",-1.7903229347948,1.70715970330852,"1"
"3","1",0.311701215824346,1.26120777131603,"0"
NA,"1",2.55398800659486,-0.815631505669155,"1"
"1","2",-0.860837755974307,0.93704051593301,"1"
NA,"1",0.543928441820242,0.69881103280286,"0"
"1","1",-0.392338036460582,-0.484474477148608,"1"
"2","2",1.23544189835141,0.569990454932599,"1"
"3","2",1.19608643943549,-0.00681067346847328,"1"
NA,"1",-0.495746901266766,-0.871443516725713,"1"
NA,"1",-0.294341221229854,1.63668432093277,"0"
"1","1",-0.573497482696866,-0.458597729237641,"1"
NA,"1",1.6192087280749,-0.574281609255286,"1"
NA,"2",-0.956927673172408,0.479883733844207,"1"
NA,"1",0.0412371196636109,0.355461944784167,"1"
NA,"2",-1.49831044334634,1.09751102545446,"1"
NA,"1",0.660959156330937,-1.07496273502047,"1"
NA,"1",0.285457620801876,-1.03154369937468,"0"
NA,"1",1.38886629376769,-0.926940748862614,"1"
NA,"1",-0.159343605204818,0.508773242585259,"1"
NA,"1",-0.460918903154203,1.75832659584039,"1"
NA,"2",0.168438071372442,0.61448745006368,"1"
